## CPU_MAX_OCCUPY Before/After — dedicated isolated runs (2026-07-18)
## MEMORY_LIMIT=512, MULTI_THREAD_ENABLE=false (CPU축만 격리)

### BEFORE — CPU_MAX_OCCUPY=100 → load가 고정 킬라인(50)을 넘겨 SIGTERM 자가종료 (~37s)
2026-07-18 22:53:24,355 [INFO] [CpuWorker] Started. Maximum CPU Limit: 100%
2026-07-18 22:53:24,355 [INFO] [CpuWorker] Current Load: 5.00%
2026-07-18 22:53:27,468 [INFO] [CpuWorker] Current Load: 10.84%
2026-07-18 22:53:30,583 [INFO] [CpuWorker] Current Load: 14.37%
2026-07-18 22:53:33,698 [INFO] [CpuWorker] Current Load: 23.08%
2026-07-18 22:53:36,814 [INFO] [CpuWorker] Current Load: 23.48%
2026-07-18 22:53:39,929 [INFO] [CpuWorker] Current Load: 23.96%
2026-07-18 22:53:43,045 [INFO] [CpuWorker] Current Load: 31.78%
2026-07-18 22:53:46,160 [INFO] [CpuWorker] Current Load: 33.57%
2026-07-18 22:53:49,275 [INFO] [CpuWorker] Current Load: 37.13%
2026-07-18 22:53:52,390 [INFO] [CpuWorker] Current Load: 39.82%
2026-07-18 22:53:55,505 [INFO] [CpuWorker] Current Load: 42.11%
2026-07-18 22:53:58,620 [INFO] [CpuWorker] Current Load: 49.50%
2026-07-18 22:54:01,735 [INFO] [CpuWorker] Current Load: 56.27%
2026-07-18 22:54:01,835 [CRITICAL] [CpuWorker] CPU Threshold Violated! (56.269999999999996%).
exit=143 (SIGTERM 자가종료)

### AFTER — CPU_MAX_OCCUPY=50 → Peak reached(50.00%)에서 클램프·쿨다운, 킬라인 못 넘어 생존
2026-07-18 22:54:36,875 [INFO] [CpuWorker] Started. Maximum CPU Limit: 50%
2026-07-18 22:54:36,875 [INFO] [CpuWorker] Current Load: 5.00%
2026-07-18 22:54:39,990 [INFO] [CpuWorker] Current Load: 14.62%
2026-07-18 22:54:43,105 [INFO] [CpuWorker] Current Load: 20.40%
2026-07-18 22:54:46,220 [INFO] [CpuWorker] Current Load: 30.01%
2026-07-18 22:54:49,335 [INFO] [CpuWorker] Current Load: 30.05%
2026-07-18 22:54:52,450 [INFO] [CpuWorker] Current Load: 34.00%
2026-07-18 22:54:55,565 [INFO] [CpuWorker] Current Load: 43.89%
2026-07-18 22:54:58,680 [INFO] [CpuWorker] Current Load: 49.12%
2026-07-18 22:55:00,791 [INFO] [CpuWorker] Peak reached (50.00%). Starting cooldown...
2026-07-18 22:55:01,795 [INFO] [CpuWorker] Current Load: 50.00%
2026-07-18 22:55:04,910 [INFO] [CpuWorker] Current Load: 46.01%
2026-07-18 22:55:08,025 [INFO] [CpuWorker] Current Load: 40.36%
2026-07-18 22:55:11,140 [INFO] [CpuWorker] Current Load: 32.70%
2026-07-18 22:55:14,255 [INFO] [CpuWorker] Current Load: 29.19%
2026-07-18 22:55:17,370 [INFO] [CpuWorker] Current Load: 23.57%
2026-07-18 22:55:20,485 [INFO] [CpuWorker] Current Load: 22.31%
2026-07-18 22:55:23,598 [INFO] [CpuWorker] Current Load: 19.16%
exit=124 (관찰창 timeout = 생존, 크래시 없음)
